lastname,firstname,birthDate,zodiac
Alexie,Sherman,07-10-66,Libra
Alfonsin,Raul,12-03-27,Pisces
Alfonzo,Edgardo,08-11-73,Scorpio
Ali,Muhammad,17-01-42,Capricorn
Alito,Samuel_A_Jr,01-04-50,Aries
Aliyev,Heydar,10-05-23,Taurus
Allawi,Ayad,01-01-45,Capricorn
Allen,Joan,20-08-56,Leo
Allen,Paul,21-01-53,Aquarius
Allen,Robert_E,01-01-35,Capricorn
Allen,Tim,13-06-53,Gemini
Allen,Woody,01-12-35,Sagittarius
Allende_Gossens,Salvador,26-06-08,Cancer
Allende,Isabel,02-08-42,Leo
Allison,Dorothy,11-04-49,Aries
Almodovar,Pedro,25-09-49,Libra
Almonte,Danny,07-04-87,Aries
Alomar,Roberto,05-02-68,Aquarius
Alou,Felipe,12-05-35,Taurus
Alou,Moises,03-07-66,Cancer
Alsop,Marin,16-10-56,Libra
Alterman,Eric,14-01-60,Capricorn
Altman,Robert,20-02-25,Pisces
Altman,Roger_C,02-04-46,Aries
Amanpour,Christiane,12-01-58,Capricorn
Ambrose,Stephen_E,10-01-36,Capricorn
Amelio,Gilbert_F,01-03-43,Pisces
Ames,Aldrich_Hazen,26-05-41,Gemini
Amin,Idi,01-01-25,Capricorn
Amir,Yigal,23-05-70,Gemini
Amis,Martin,25-08-49,Virgo
Andersen,Hans_Christian,02-04-1805,Aries
Anderson,Laurie,05-06-47,Gemini
Anderson,Michael_P,25-12-59,Capricorn
Anderson,Wes,01-05-69,Taurus
Ando,Tadao,13-09-41,Virgo
Andreotti,Giulio,14-01-19,Capricorn
Andrews,Julie,01-10-35,Libra
Andrews,Robert_E,04-08-57,Leo
Andsnes,Leif_Ove,07-04-70,Aries
Angell,Marcia,20-04-39,Aries
Angelou,Maya,04-04-28,Aries
Aniston,Jennifer,11-02-69,Aquarius
Annenberg,Walter_H,13-03-08,Pisces
Anthony,Carmelo,29-05-84,Gemini
Anthony,Marc,16-09-68,Virgo
Antonioni,Michelangelo,29-09-12,Libra
Apatow,Judd,06-12-67,Sagittarius
Appleby,Stuart,01-05-71,Taurus
Apted,Michael,10-02-41,Aquarius
Arad,Michael,01-01-69,Capricorn
Arafat,Suha,17-07-63,Cancer
Arafat,Yasir,24-08-29,Virgo
Arar,Maher,01-01-70,Capricorn
Arbour,Louise,10-02-47,Aquarius
Arbus,Diane,14-03-23,Pisces
Archer,Jeffrey,15-04-40,Aries
Argerich,Martha,05-06-41,Gemini
Aristide,Jean-Bertrand,15-07-53,Cancer
Arkin,Alan,26-03-34,Aries
Arledge,Roone,08-07-31,Cancer
Armani,Giorgio,01-01-0007,Capricorn
Armey,Dick,07-07-40,Cancer
Armstead,Jessie,26-10-70,Scorpio
Armstrong,C_Michael,18-10-38,Libra
Armstrong,Lance,18-09-71,Virgo
Armstrong,Louis,04-07-00,Cancer
Arnett,Peter,13-11-34,Scorpio
Arnott,Jason,11-10-74,Libra
Arpaio,Joseph_M,14-06-32,Gemini
Arroyo,Gloria_Macapagal,05-04-47,Aries
Artest,Ron,13-11-79,Scorpio
Arum,Bob,08-12-31,Sagittarius
Asahara,Shoko,02-03-55,Pisces
Ashbery,John,28-07-27,Leo
Ashcroft,John,09-05-42,Taurus
Ashe,Arthur,10-07-43,Cancer
Ashton,Frederick,01-01-04,Capricorn
Asimov,Eric,17-07-57,Cancer
Aspan,Maria,01-01-82,Capricorn
,Assad,Bashar_Al-,11-09-65,Virgo
,Assad,Hafez_Al-,06-10-30,Libra
Assayas,Olivier,25-01-55,Aquarius
Astaire,Fred,10-05-1899,Taurus
Astor,Brooke,30-03-02,Aries
Ataturk,Kemal,01-01-1881,Capricorn
Atkins,Eileen,16-06-34,Gemini
Atta,Mohamed,01-09-68,Virgo
Atwood,Margaret,18-11-39,Scorpio
Auburn,David,30-11-69,Sagittarius
Auden,Wystan_Hugh,21-02-07,Pisces
Audubon,John_James,26-04-1785,Taurus
Aung_San_Suu_Kyi,Daw,19-06-45,Gemini
Auriemma,Geno,23-03-54,Aries
Austen,Jane,16-12-1775,Sagittarius
Auster,Paul,03-02-47,Aquarius
Autissier,Isabelle,18-10-56,Libra
Avedon,Richard,15-05-23,Taurus
Avery,Milton,07-03-1885,Pisces
Avery,Sean,10-04-80,Aries
Ax,Emanuel,08-06-49,Gemini
Axelrod,David,22-02-55,Pisces
Ayckbourn,Alan,12-04-39,Aries
Ayres,Ian,01-01-59,Capricorn
Azinger,Paul,06-01-60,Capricorn
Babbitt,Bruce,27-06-38,Cancer
Babbitt,Milton,10-05-16,Taurus
Bacall,Lauren,16-09-24,Virgo
Bach,Johann_Sebastian,21-03-1685,Aries
Bacharach,Burt,12-05-28,Taurus
Bacon,Kevin,08-07-58,Cancer
Badillo,Herman,21-08-29,Leo
Baez,Anthony_Ramon,01-01-65,Capricorn
Baez,Joan,09-01-41,Capricorn
Baffert,Bob,13-01-53,Capricorn
Bai,Matt,09-09-68,Virgo
Bailey,Donovan,16-12-67,Sagittarius
Bailey,F_Lee,10-06-33,Gemini
Bailey,Jerry,29-08-57,Virgo
Baitz,Jon_Robin,04-11-61,Scorpio
Baker,Dusty,15-06-49,Gemini
Baker,Howard_H_Jr,15-11-25,Scorpio
Baker,James_A_III,28-04-30,Taurus
Baker,Nicholson,07-01-57,Capricorn
Baker,Vin,23-11-71,Sagittarius
Balaguer,Joaquin,01-09-06,Virgo
Balanchine,George,22-01-04,Aquarius
Baldrige,Letitia,09-02-26,Aquarius
Baldwin,Alec,03-04-58,Aries
Baldwin,William,21-02-63,Pisces
Bale,Christian,30-01-74,Aquarius
Ball,Lucille,06-08-11,Leo
Ballmer,Steven_A,24-03-56,Aries
Baltimore,David,07-03-38,Pisces
Ban,Shigeru,05-08-57,Leo
Banderas,Antonio,10-08-60,Leo
Banks,Russell,28-03-40,Aries
Barak,Ehud,12-02-42,Aquarius
Baraka,Amiri,07-10-34,Libra
Baranski,Christine,02-05-52,Taurus
Barber,Samuel,09-03-10,Pisces
Barber,Tiki,07-04-75,Aries
Barbour,Haley,22-10-47,Libra
Bardem,Javier,01-03-69,Pisces
Bardot,Brigitte,28-09-34,Libra
Barenboim,Daniel,15-11-42,Scorpio
Barghouti,Marwan,06-06-59,Gemini
Barkley,Charles,20-02-63,Pisces
Barkley,Erick,21-02-78,Pisces
Barksdale,James_L,24-01-43,Aquarius
Barnes,Albert_C,02-01-1872,Capricorn
Barnes,Julian,19-01-46,Capricorn
Barnes,Roy_E,11-03-48,Pisces
Barnett,Gary,23-05-46,Gemini
Barney,Matthew,25-03-67,Aries
Barnicle,Mike,13-10-43,Libra
Barr,Bob,05-11-48,Scorpio
Barron,Charles,01-01-51,Capricorn
Barry,Dave,03-07-47,Cancer
Barry,Marion_S_Jr,06-03-36,Pisces
Barrymore,Drew,22-02-74,Pisces
Barshefsky,Charlene,11-08-50,Leo
Barstow,David,21-01-63,Aquarius
Bart,Peter,24-07-32,Leo
Barth,John,27-05-30,Gemini
Barthelme,Frederick,10-10-43,Libra
Bartlett,Bruce,11-10-51,Libra
Bartok,Bela,25-03-1881,Aries
Bartoli,Cecilia,04-06-66,Gemini
Baryshnikov,Mikhail,27-01-48,Aquarius
Barzani,Massoud,16-08-46,Leo
Basayev,Shamil,14-01-65,Capricorn
Bashir,Abu_Bakar,01-01-38,Capricorn
,Bashir,Omar_Hassan_Al-,01-01-44,Capricorn
Basinger,Kim,08-12-53,Sagittarius
Bastianich,Joseph,17-09-68,Virgo
Batali,Mario,19-09-60,Virgo
Bates,John_D,11-10-46,Libra
Bates,Kathy,28-06-48,Cancer
Battle,Kathleen,13-08-48,Leo
Batts,Deborah_A,13-04-47,Aries
Baucus,Max,11-12-41,Sagittarius
Bauer,Gary_L,04-05-46,Taurus
Bay,Michael,17-02-65,Aquarius
Bayh,Evan,26-12-55,Capricorn
Baylor,Don,28-06-49,Cancer
Beame,Abraham_D,20-03-06,Pisces
Beane,Billy,29-03-62,Aries
Bearak,Barry,31-08-49,Virgo
Bearden,Milt,01-01-40,Capricorn
Bearden,Romare,02-09-11,Virgo
Beattie,Ann,08-09-47,Virgo
Beatty,Warren,30-03-37,Aries
Bechler,Steve,18-11-79,Scorpio
Becker,Boris,22-11-67,Scorpio
Beckett,Samuel,13-04-06,Aries
Beckham,David,02-05-75,Taurus
Beckinsale,Kate,26-07-73,Leo
Beckmann,Max,12-02-1884,Aquarius
Beene,Geoffrey,30-08-24,Virgo
Beethoven,Ludwig_van,16-12-1770,Sagittarius
Begala,Paul,12-05-61,Taurus
Begley,Louis,06-10-33,Libra
Beilin,Yossi,12-06-48,Gemini
Belafonte,Harry,01-03-27,Pisces
Belichick,Bill,16-04-52,Aries
Bell,Derrick,06-11-30,Scorpio
Bell,Joshua,09-12-67,Sagittarius
Bellafante,Ginia,31-03-65,Aries
Bellamy,Carol,14-01-42,Capricorn
Belle,Albert,25-08-66,Virgo
Bellow,Saul,10-06-15,Gemini
Bemba,Jean-Pierre,04-11-62,Scorpio
Benes,Andy,20-08-67,Leo
Benigni,Roberto,27-10-52,Scorpio
Bening,Annette,29-05-58,Gemini
Benitez,Armando,03-11-72,Scorpio
Bennett,Alan,09-05-34,Taurus
Bennett,John_O,06-08-48,Leo
Bennett,Robert_S,01-01-39,Capricorn
Bennett,Tony,03-08-26,Leo
Bennett,William_J,31-07-43,Leo
Berenson,Lori_Helene,13-11-69,Scorpio
Berg,Alban,09-02-1885,Aquarius
Bergen,Candice,09-05-46,Taurus
Berger,Samuel_R,28-10-45,Scorpio
Bergman,Ingmar,14-07-18,Cancer
Berio,Luciano,24-10-25,Scorpio
Berisha,Sali,15-10-44,Libra
Berkoff,Steven,03-08-37,Leo
Berkow,Ira,07-01-40,Capricorn
Berkowitz,David,01-06-53,Gemini
Berle,Milton,12-07-08,Cancer
Berlin,Irving,11-05-1888,Taurus
Berlin,Isaiah,06-06-09,Gemini
Berlioz,Hector,11-12-1803,Sagittarius
Berlusconi,Silvio,29-09-36,Libra
Berman,Howard_L,15-04-41,Aries
Berman,Paul,01-01-49,Capricorn
Bernhard,Sandra,06-06-55,Gemini
Bernstein,Carl,14-02-44,Aquarius
Bernstein,Jared,01-01-55,Capricorn
Bernstein,Richard,05-05-44,Taurus
Berra,Yogi,12-05-25,Taurus
Berry,Chuck,18-10-26,Libra
Berry,Halle,14-08-66,Leo
Berry,Mary_Frances,17-02-38,Aquarius
Bertuzzi,Todd,02-02-75,Aquarius
Beschloss,Michael_R,30-11-55,Sagittarius
Betancourt,Ingrid,25-12-61,Capricorn
Bettis,Jerome,16-02-72,Aquarius
Bettman,Gary,02-06-52,Gemini
Bewkes,Jeffrey_L,25-05-52,Gemini
Bezos,Jeffrey_P,12-01-64,Capricorn
Bhagwati,Jagdish,26-07-34,Leo
Biden,Joseph_R_Jr,20-11-42,Scorpio
Bildt,Carl,15-07-49,Cancer
Billick,Brian,28-02-54,Pisces
Billington,James_H,01-06-29,Gemini
bin_al-Shibh,Ramzi,01-05-72,Taurus
Bin_Laden,Osama,10-03-57,Pisces
Bing,Rudolf,09-01-02,Capricorn
Bingaman,Jeff,03-10-43,Libra
Binoche,Juliette,09-03-64,Pisces
Bird,Larry,07-12-56,Sagittarius
Bittman,Mark,01-01-50,Capricorn
Bizet,Georges,25-10-1838,Scorpio
Black,Conrad_M,25-08-44,Virgo
Blackmun,Harry_A,12-11-08,Scorpio
Blagojevich,Rod_R,10-12-56,Sagittarius
Blahnik,Manolo,27-11-42,Sagittarius
Blaine,David,04-04-73,Aries
Blair,Cherie,23-09-54,Virgo
Blair,Tony,06-05-53,Taurus
Blanchett,Cate,14-05-69,Taurus
Blanco,Kathleen_Babineaux,15-12-42,Sagittarius
Blankfein,Lloyd_C,20-09-54,Virgo
Bledsoe,Drew,14-02-72,Aquarius
Blessing,Lee,04-10-49,Libra
Blige,Mary_J,11-01-71,Capricorn
Blinder,Alan_S,14-10-45,Libra
Blix,Hans,28-06-28,Cancer
Block,Frederic,06-06-34,Gemini
Block,Lawrence,24-06-38,Cancer
Blodget,Henry,01-01-66,Capricorn
Bloom,Claire,15-02-31,Aquarius
Bloom,Harold,11-07-30,Cancer
Bloomberg,Michael_R,14-02-42,Aquarius
Blume,Judy,12-02-38,Aquarius
Blumenthal,Richard,13-02-46,Aquarius
Blumenthal,Sidney,06-11-48,Scorpio
Blunkett,David,06-06-47,Gemini
Boal,Peter,01-01-65,Capricorn
Bocca,Julio,06-03-67,Pisces
Bocelli,Andrea,22-09-58,Virgo
Bochco,Steven,16-12-43,Sagittarius
Boehner,John_A,17-11-49,Scorpio
Bogart,Anne,25-09-51,Libra
Bogart,Humphrey,25-12-1899,Capricorn
Bogdanich,Walt,10-10-50,Libra
Bogdanovich,Peter,30-07-39,Leo
Boggs,Wade,15-06-58,Gemini
Bogle,John_C,08-05-29,Taurus
Bogosian,Eric,24-04-53,Taurus
Boies,David,11-03-41,Pisces
Bok,Derek,22-03-30,Aries
Bolcom,William,26-05-38,Gemini
Bollinger,Lee_C,30-04-46,Taurus
Bolt,Usain,21-08-86,Leo
Bolten,Joshua_B,16-08-54,Leo
Bolton,John_R,20-11-48,Scorpio
Bon_Jovi,Jon,02-03-62,Pisces
Bond,Christopher_S,06-03-39,Pisces
Bond,Julian,14-01-40,Capricorn
Bonderman,David,27-11-42,Sagittarius
Bonds,Barry,24-07-64,Leo
Bonilla,Bobby,23-02-63,Pisces
Bonior,David_E,06-06-45,Gemini
Bonner,Raymond,01-01-42,Capricorn
Bonney,Barbara,14-04-56,Aries
Bono,Sonny,16-02-35,Aquarius
Booker,Cory_A,27-04-69,Taurus
Boone,Aaron,09-03-73,Pisces
Boorda,Jeremy_M,26-11-39,Sagittarius
Boot,Max,12-09-69,Virgo
Boras,Scott,02-11-52,Scorpio
Borge,Victor,03-01-09,Capricorn
Bork,Robert_H,01-03-27,Pisces
Borodin,Pavel_P,25-10-46,Scorpio
Bosco,Philip,26-09-30,Libra
Bossi,Umberto,19-09-41,Virgo
Bossidy,Lawrence_A,05-03-35,Pisces
Bostridge,Ian,25-12-64,Capricorn
Botha,Francois,28-09-68,Libra
Botha,P_W,12-01-16,Capricorn
Botstein,Leon,14-12-46,Sagittarius
Bouchard,Lucien,22-12-38,Capricorn
Boudin,Kathy,19-05-43,Taurus
Bouley,David,27-05-53,Gemini
Boulez,Pierre,26-03-25,Aries
Boulud,Daniel,25-03-55,Aries
Bourgeois,Louise,25-12-11,Capricorn
Bourne,Matthew,13-01-60,Capricorn
Bourque,Ray,28-12-60,Capricorn
Bouteflika,Abdelaziz,02-03-37,Pisces
Bouton,Jim,08-03-39,Pisces
Boutros-Ghali,Boutros,14-11-22,Scorpio
Bowden,Bobby,08-11-29,Scorpio
Bowe,Riddick,10-08-67,Leo
Bowen,William_G,06-10-33,Libra
Bowie,David,08-01-47,Capricorn
Bowles,Erskine_B,08-08-45,Leo
Bowman,Scotty,18-09-33,Virgo
Boxer,Barbara,11-11-40,Scorpio
Boyle,Danny,20-10-56,Libra
Boyle,T_Coraghessan,02-12-48,Sagittarius
Bracco,Lorraine,02-10-54,Libra
Bradbury,Ray,22-08-20,Leo
Bradley,Bill,28-07-43,Leo
Brady,James_S,29-08-40,Virgo
Brady,Tom,03-08-77,Leo
Brafman,Benjamin,21-07-48,Cancer
Bragman,Michael_J,11-08-40,Leo
Brahimi,Lakhdar,01-01-34,Capricorn
Brahms,Johannes,07-05-1833,Taurus
Branca,Ralph,06-01-26,Capricorn
Brand,Elton,11-03-79,Pisces
Brand,Myles,17-05-42,Taurus
Brando,Marlon,03-04-24,Aries
Branson,Richard,18-07-50,Cancer
Brantley,Ben,26-10-54,Scorpio
Bratton,William_J,06-10-47,Libra
Braunstein,Peter,26-01-64,Aquarius
Breaux,John_B,01-03-44,Pisces
Brecht,Bertolt,10-02-1898,Aquarius
Breeden,Richard_C,06-12-49,Sagittarius
Bremer,L_Paul_III,30-09-41,Libra
Brendel,Alfred,05-01-31,Capricorn
Breslin,Jimmy,17-10-30,Libra
Breyer,Stephen_G,15-08-38,Leo
Bridges,Jeff,04-12-49,Sagittarius
Briggs,Shannon,04-12-71,Sagittarius
Brin,Sergey,21-08-73,Leo
Brinkema,Leonie_M,26-06-44,Cancer
Brinkley,David,10-07-20,Cancer
Brinkley,Douglas,14-12-60,Sagittarius
Britten,Benjamin,22-11-13,Scorpio
Broad,Eli,06-06-33,Gemini
Broad,William_J,07-03-51,Pisces
Brock,David,02-11-62,Scorpio
Broderick,Matthew,21-03-62,Aries
Brodeur,Martin,06-05-72,Taurus
Brodsky,Joseph,24-05-40,Gemini
Brodsky,Richard_L,18-11-46,Scorpio
Brody,Adrien,14-04-73,Aries
Brody,Jane_E,19-05-41,Taurus
Brokaw,Tom,06-02-40,Aquarius
Bronfman,Yefim,10-04-58,Aries
Bronner,Ethan,01-01-54,Capricorn
Brook,Peter,21-03-25,Aries
Brookhiser,Richard,23-02-55,Pisces
Brookner,Anita,16-07-28,Cancer
Brooks,Albert,22-07-47,Cancer
Brooks,Garth,07-02-62,Aquarius
Brooks,Herb,05-08-37,Leo
Brooks,Mel,28-06-26,Cancer
Brosius,Scott,15-08-66,Leo
Broussard,Chris,28-10-68,Scorpio
Brown,Blair,23-04-47,Taurus
Brown,Dan,22-06-64,Cancer
Brown,David_M,16-04-56,Aries
Brown,Gordon,20-02-51,Pisces
Brown,James,03-05-33,Taurus
Brown,Janice_Rogers,11-05-49,Taurus
Brown,Jason_Robert,20-06-70,Gemini
Brown,Lee_P,04-10-37,Libra
Brown,Trisha,25-11-36,Sagittarius
Brownback,Sam,12-09-56,Virgo
Browner,Carol_M,16-12-55,Sagittarius
Bruce,Lenny,13-10-25,Libra
Bruckheimer,Jerry,21-09-43,Virgo
Bruckner,D_J_R,26-11-33,Sagittarius
Bruguera,Sergi,16-01-71,Capricorn
Brundtland,Gro_Harlem,20-04-39,Aries
Brunell,Mark,17-09-70,Virgo
Bruni,Frank,31-10-64,Scorpio
Bruno,Joseph_L,08-04-29,Aries
Brustein,Robert,21-04-27,Taurus
Bruton,John,18-05-47,Taurus
Bryant,Kobe,23-08-78,Virgo
Bryson,Bill,08-12-51,Sagittarius
Brzezinski,Zbigniew,28-03-28,Aries
Buchwald,Art,20-10-25,Libra
Buckley,Betty,03-07-47,Cancer
Budig,Gene,25-05-39,Gemini
Buffett,Jimmy,25-12-46,Capricorn
Buffett,Warren_E,30-08-30,Virgo
Bullock,Sandra,26-07-64,Leo
Bumiller,Elisabeth,15-05-56,Taurus
Bumpers,Dale,12-08-25,Leo
Bunning,Jim,23-10-31,Libra
Bure,Pavel,31-03-71,Aries
Burk,Martha,18-10-41,Libra
Burke,James_Lee,05-12-36,Sagittarius
Burnett,Carol,26-04-33,Taurus
Burnett,Mark,17-07-60,Cancer
Burnitz,Jeromy,15-04-69,Aries
Burns,Conrad,25-01-35,Aquarius
Burns,Edward,29-01-68,Aquarius
Burns,George,20-01-1896,Capricorn
Burns,John_F,04-10-44,Libra
Burns,Ken,29-07-53,Leo
Burns,Ric,01-01-55,Capricorn
Burr,Aaron,06-02-1756,Aquarius
Burrell,Garland_Jr,01-01-47,Capricorn
Burress,Plaxico,12-08-77,Leo
Burris,Roland_W,03-08-37,Leo
Burroughs,William_S,05-02-14,Aquarius
Burstyn,Ellen,07-12-32,Sagittarius
Burton,Dan,21-06-38,Gemini
Burton,Tim,25-08-58,Virgo
Buruma,Ian,28-12-51,Capricorn
Buscemi,Steve,13-12-57,Sagittarius
Busch,Charles,23-08-54,Virgo
Busch,Kurt,04-08-78,Leo
Bush,Barbara,08-06-25,Gemini
Bush,George,12-06-24,Gemini
Bush,George_W,06-07-46,Cancer
Bush,Jeb,11-02-53,Aquarius
Bush,Laura,04-11-46,Scorpio
Bush,Neil,22-01-55,Aquarius
Bushnell,Candace,01-12-58,Sagittarius
Bustamante,Cruz,04-01-53,Capricorn
Butterfield,Fox,01-01-39,Capricorn
Buyoya,Pierre,24-11-49,Sagittarius
Byatt,A_S,24-08-36,Virgo
Byrd,Robert_C,20-11-17,Scorpio
Byrne,David,14-05-52,Taurus
Byrne,Gabriel,12-05-50,Taurus
Cabrera,Melky,11-08-84,Leo
Caesar,Sid,08-09-22,Virgo
Cage,John,05-09-12,Virgo
Cage,Nicolas,07-01-64,Capricorn
Caine,Michael,14-03-33,Pisces
Calame,Byron,14-04-39,Aries
Calatrava,Santiago,28-07-51,Leo
Calcavecchia,Mark,12-06-60,Gemini
Calder,Alexander,22-07-1898,Cancer
Calderon,Felipe,18-08-62,Leo
Calhoun,Jim,10-05-42,Taurus
Calipari,John,10-02-59,Aquarius
Callas,Maria,02-12-23,Sagittarius
Callaway,Ann_Hampton,30-05-58,Gemini
Camacho,Hector,24-05-62,Gemini
Camby,Marcus,22-03-74,Aries
Camdessus,Michel,01-05-33,Taurus
Cameron,David,09-10-66,Libra
Cameron,James,16-08-54,Leo
Cameron,Mike,08-01-73,Capricorn
Campbell,Ben_Nighthorse,13-04-33,Aries
Campion,Jane,30-04-54,Taurus
Camus,Albert,07-11-13,Scorpio
Cano,Robinson,22-10-82,Libra
Canseco,Jose,02-07-64,Cancer
Cantwell,Maria,13-10-58,Libra
Cantwell,Mary,01-01-30,Capricorn
Capellas,Michael_D,19-08-55,Leo
Capote,Truman,30-09-24,Libra
Capriati,Jennifer,29-03-76,Aries
Caputo,Philip,10-06-41,Gemini
Caray,Harry,01-03-14,Pisces
Card,Andrew_H_Jr,10-05-47,Taurus
Carell,Steve,16-08-62,Leo
Carey,Benedict,03-03-60,Pisces
Carey,Hugh_L,11-04-19,Aries
Carey,Mariah,27-03-69,Aries
Carlesimo,P_J,30-05-49,Gemini
Carlin,George,12-05-37,Taurus
Carlson,Tucker,16-05-69,Taurus
Carnegie,Andrew,25-11-1835,Sagittarius
Caro,Robert_A,30-10-35,Scorpio
Carollo,Joe,11-03-55,Pisces
Carper,Thomas_R,23-01-47,Aquarius
Carr,Caleb,02-08-55,Leo
Carr,David,21-07-79,Cancer
Carreras,Jose,05-12-46,Sagittarius
Carrey,Jim,17-01-62,Capricorn
Carruth,Rae,20-01-74,Capricorn
Carson,Johnny,23-10-25,Libra
Carter,Benny,08-08-07,Leo
Carter,Elliott,11-12-08,Sagittarius
Carter,Graydon,14-07-49,Cancer
Carter,Jimmy,01-10-24,Libra
Carter,Quincy,13-10-77,Libra
Carter,Rosalynn,18-08-27,Leo
Carter,Rubin,06-05-37,Taurus
Carter,Stephen_L,26-10-54,Scorpio
Carter,Vince,26-01-77,Aquarius
Cartier-Bresson,Henri,22-08-08,Leo
Caruso,David,07-01-56,Capricorn
Caruso,Enrico,25-02-1873,Pisces
Carver,Raymond,25-05-38,Gemini
Carville,James,25-10-44,Scorpio
Case,Stephen_M,21-08-58,Leo
Cash,Johnny,26-02-30,Pisces
Cashman,Brian,03-07-67,Cancer
Cassatt,Mary,22-05-1844,Gemini
Cassell,Sam,18-11-69,Scorpio
Castelli,Leo,04-09-07,Virgo
Castle,Michael_N,02-07-39,Cancer
Castro,Fidel,13-08-26,Leo
Castroneves,Helio,10-05-75,Taurus
Cather,Willa,07-12-1873,Sagittarius
Causey,Richard_A,09-01-60,Capricorn
Cavallo,Domingo,21-07-46,Cancer
Cavett,Dick,19-11-36,Scorpio
Cayard,Paul,19-05-59,Taurus
Cayne,James_E,14-02-34,Aquarius
Ceausescu,Nicolae,26-01-18,Aquarius
Cedarbaum,Miriam_Goldman,16-09-29,Virgo
Cedeno,Roger,16-08-74,Leo
Cellucci,Paul,24-04-48,Taurus
Chabon,Michael,24-05-63,Gemini
Chabrol,Claude,24-06-30,Cancer
Chafee,John_H,22-10-22,Libra
Chafee,Lincoln,26-03-53,Aries
Chagall,Marc,07-07-1887,Cancer
Chailly,Riccardo,20-02-53,Pisces
Chalabi,Ahmad,30-10-44,Scorpio
Chalayan,Hussein,12-08-70,Leo
Chalfant,Kathleen,14-01-45,Capricorn
Chamberlain,Joba,23-09-85,Virgo
Chamberlain,Wilt,21-08-36,Leo
Chambliss,Chris,26-12-48,Capricorn
Chambliss,Saxby,10-11-43,Scorpio
Chan,Jackie,07-04-54,Aries
Chan,Sewell,01-01-77,Capricorn
Chandler,Raymond,23-07-1888,Leo
Chaney,Don,22-03-46,Aries
Chaney,James,30-05-43,Gemini
Chang,Michael,22-02-72,Pisces
Channing,Carol,31-01-21,Aquarius
Channing,Stockard,13-02-44,Aquarius
Chao,Elaine_L,26-03-53,Aries
Chaplin,Charlie,16-04-1889,Aries
Charles,Ray,23-09-30,Virgo
Charyn,Jerome,13-05-37,Taurus
Chase,Chevy,10-09-42,Virgo
Chass,Murray,12-10-38,Libra
Chaudhry,Iftikhar_Muhammad,12-12-48,Sagittarius
Chavez,Julio_Cesar,12-07-62,Cancer
Chavez,Linda,17-06-47,Gemini
Chavis,Benjamin_F_Jr,22-01-48,Aquarius
Cheadle,Don,29-11-64,Sagittarius
Checketts,Dave,01-01-56,Capricorn
Cheever,Benjamin,08-10-48,Libra
Cheever,John,27-05-12,Gemini
Cheever,Susan,31-07-43,Leo
Chekhov,Anton,29-01-1860,Aquarius
Cheney,Dick,30-01-41,Aquarius
